voterId,prefix,firstName,middleName,lastName,address,parish,gender,dateofBirth,telephone,occupation,maritalStatus,mothersMaidenName,placeofBirth,mothersPlaceofBirth,constituencyId
8473840,Mr,Charlie,Rylie,Moore,Street Road,St. Catherine,Male,13/12/1997,658-295-5261,Chef,Married,Richard,St. Catherine,St. James,38
2840493,Mr,Robert,Joseph,Ferguson,Eagle Road,St. Catherine,Male,26/04/1993,876-474-3111,Architect,Single,Barry,St. Catherine,St. Mary,42
3847043,Mr,Kevin,Byron,Edwards,River Road,St. Mary,Male,12/02/1987,876-237-8633,Meteorologist,Single,Bradley,Westmoreland,St. Mary,43
3404830,Mr,Abraham,Murphy,Hamilton,8th Avenue,St. Ann,Male,22/01/1974,658-295-2976,Unemployed,Single,Bishop,St. Ann,Kingston,24
3473943,Mr,Lucas,Elijah,Wells,Cherry Street,St. Thomas,Male,05/05/1992,658-295-8034,Social Worker,Single,Harvey,St. Thomas,Portland,51
3408473,Mr,Wilson,Zion,Hamilton,Linden Street,Kingston,Male,29/12/1997,876-813-2091,Mathematician,Single,Mejia,Kingston,Kingston,61
9549484,Mrs,Chelsea,Naomi,Howard,B Street,St. Andrew,Female,11/07/2000,876-291-2950,Chemist,Married,Johnson,St. Andrew,St. Andrew,46
3498474,Mr,Thomas,Kent,Cunningham,Evergreen Drive,St. Thomas,Male,28/07/1970,876-667-0029,Programmer,Single,Rollins,St. Thomas,St. Thomas,49
4434355,Mr,Frederick,Joseph,Martin,Summit Avenue,St. Thomas,Male,19/09/1990,876-221-8514,Fine Artist,Single,Nicholson,St. Thomas,St. Thomas,49
4356456,Mr,John,Bree,Cameron,Dogwood Drive,Manchester,Male,12/03/1970,658-295-6460,Unemployed,Married,Maddox,Kingston,Manchester,23
6776765,Mr,Leonardo,Glenn,Adams,Buckingham Drive,St Catherine,Male,10/06/1990,658-295-0562,Unemployed,Single,Knox,Hanover,St Catherine,38
5667555,Mr,Preston,Rose,Ross,Schoolhouse Lane,St. Mary,Male,24/01/1967,876-547-0068,Unemployed,Single,Barrera,St. Mary,St. Mary,44
5675709,Mrs,Victoria,Benjamin,West,9th Street West,Kingston,Female,22/12/1964,658-295-5867,Photographer,Married,Dillon,Kingston,Westmoreland,61
9854754,Mr,Dexter,Grey,Wells,Park Avenue,Kingston,Male,04/10/1997,658-295-3058,Pharmacist,Married,Boyd,Kingston,St. Ann,62
9785456,Mr,Edgar,Tanner,Carter,New Street,Kingston,Male,12/04/1977,658-295-6149,Interpreter,Married,Morrison,Kingston,Manchester,60
4555654,Ms,Lydia,Rylie,Thompson,Redwood Drive,Kingston,Female,03/08/1973,658-295-1508,Auditor,Single,Bryant,St. James,Kingston,60
9547545,Mr,Chester,Trey,Morris,Front Street North,Hanover,Male,06/06/1972,658-295-4690,Unemployed,Single,Cain,Hanover,Hanover,5
4574567,Mr,Ned,Eli,Gray,Inverness Drive,Westmoreland,Male,19/04/1984,658-295-7810,Unemployed,Married,Bond,Westmoreland,Hanover,8
5643344,Mr,James,Ellory,Nelson,2nd Street,St. Thomas,Male,24/11/1979,876-223-0989,Unemployed,Single,Drake,St. Thomas,St. Thomas,51
5450805,Mr,Edwin,Carelyn,Turner,Penn Street,Westmoreland,Male,04/09/1997,658-295-2023,Unemployed,Single,Hammond,Westmoreland,St. Thomas,7
5874954,Ms,Miranda,Drew,Ryan,Meadow Street,Westmoreland,Female,29/09/1980,658-295-3813,Chef,Single,Nolan,Westmoreland,Westmoreland,6
8957504,Mrs,Michelle,Jolee,Wilson,Jefferson Avenue,Hanover,Female,17/07/1960,876-999-8628,Producer,Married,Tate,Hanover,Hanover,5
5456345,Mr,Kelvin,Irene,Ferguson,Forest Street,Trelawny,Male,23/10/1992,658-295-2280,Producer,Married,Burke,St. Catherine,Trelawny,16
6796556,Mr,Lucas,Damon,Owens,Augusta Drive,St. Ann,Male,10/05/1971,658-295-4545,Biochemist,Single,Farley,St. Ann,St. Ann,26
6765565,Mrs,Fiona,Orlando,Andrews,Washington Avenue,St. Catherine,Female,05/09/1998,658-295-0023,Actor,Married,Nunez,Portland,St. Catherine,36
5856895,Mr,Robert,Blake,Mason,Cedar Avenue,Kingston,Male,08/05/1970,876-810-8243,Lawer,Single,Cherry,Kingston,Kingston,61
9806765,Ms,Alissa,Dex,Cooper,Oxford Road,Kingston,Female,22/09/1982,658-295-5983,Social Worker,Single,Savage,St. Catherine,Kingston,62
5674435,Mr,Dale,Gregory,Hill,Route 29,Kingston,Male,15/03/1980,876-506-2871,Fashion Designer,Married,Fox,Kingston,Kingston,60
4373434,Ms,Vanessa,Jackson,Harrison,Liberty Street,Manchester,Female,20/01/1984,658-295-0712,Fashion Designer,Single,Carney,Manchester,Manchester,22
1522354,Mr,Chester,Clark,Cole,Devon Road,Westmoreland,Male,27/04/1995,658-295-2872,Engineer,Married,Gentry,Manchester,Westmoreland,8
3469837,Mr,Nicholas,Garrison,Phillips,Grant Street,Hanover,Male,20/06/1978,658-295-9728,Graphic Designer,Married,Leonard,Hanover,Hanover,4
9586566,Mrs,Sabrina,Kathryn,Jones,Route 32,Manchester,Female,05/08/1971,876-649-3011,Social Worker,Single,Thompson,Manchester,Manchester,2
4432212,Mr,Aldus,Cash,Watson,6th Avenue,St. Mary,Male,25/03/1971,658-295-0745,Pharmacist,Married,Everett,St. Mary,St. Mary,45
1234556,Ms,Amy,Lane,Elliott,Aspen Court,Portland,Female,23/02/1989,658-295-7494,Electrician,Single,Armstrong,St. Mary,St. Ann,48
3633233,Mr,Miller,Naveen,Murphy,10th Street,Portland,Male,16/10/1986,876-221-5584,Historian,Married,Rowe,Portland,St. Catherine,48
5236476,Mr,Preston,Fernando,Brown,Briarwood Court,Portland,Male,17/04/2000,658-295-8230,Unemployed,Single,Silva,Portland,Trelawny,48
5473087,Mr,Haris,Love,Stevens,Main Street South,Portland,Male,05/08/1960,876-517-3711,Chef,Single,Mooney,Portland,Kingston,50
5409465,Ms,Catherine,Shane,Kelly,Brookside Drive,St Thomas,Female,06/08/1965,658-295-2663,Scientist,Single,Jackson,St Thomas,St. Andrew,49
8964954,Mr,Aston,Avery,Hawkins,Glenwood Avenue,St. Andrew,Male,06/06/1973,658-295-5114,Geologist,Married,Travis,St. Andrew,St. Andrew,47
4375758,Ms,Briony,Lydon,Casey,Spring Street,St. Catherine,Female,05/05/1997,876-825-6854,Salesman,Single,Doyle,St. Catherine,St. Catherine,39
2456477,Mr,Adison,Tristan,Miller,Bayberry Drive,St. Thomas,Male,10/05/1962,876-313-1010,Unemployed,Single,Bishop,St. Thomas,St. Thomas,49
3590876,Mr,Carlos,Coralie,West,Bridle Lane,Kingston,Male,06/10/1993,658-295-1387,Meteorologist,Single,Glass,Kingston,Kingston,62
8946967,Mr,David,Daniel,Campbell,Buttonwood Drive,St. Andrew,Male,22/03/1989,658-295-1335,Interpreter,Married,Bolton,St. Andrew,St. Andrew,56
4644356,Mr,Thomas,Annora,Martin,Maple Street,Portland,Male,19/05/1976,876-649-5549,Unemployed,Married,Harris,Portland,Portland,48
8754686,Mr,Kevin,Brandt,Owens,Route 9,Portland,Male,20/12/1967,876-300-5951,Unemployed,Married,Richmond,Portland,Portland,50
4765845,Ms,Lucy,Georgina,Carter,Hill Street,St. Ann,Female,06/01/1968,658-295-4152,Graphic Designer,Single,Jarvis,St. Ann,St. Ann,27
8746686,Mr,Alan,Daniel,Mason,Beech Street,St. Mary,Male,09/02/1972,876-221-0761,Programmer,Married,Clayton,St. Mary,St. Mary,45
6446356,Mr,Oliver,Kent,Holmes,2nd Street East,Manchester,Male,23/01/1970,876-506-1178,Florist,Single,Blackburn,Manchester,Manchester,2
1347689,Mrs,Annabella,Ray,Farrell,Bridle Court,Manchester,Female,02/07/1965,658-295-3555,Mathematician,Married,Fischer,Manchester,Manchester,20
1573284,Mr,Wilson,Vivian,Morgan,3rd Street North,Westmoreland,Male,16/11/1983,876-290-2989,Manager,Single,Parsons,Westmoreland,Westmoreland,7
1863494,Mrs,Lana,Jane,Nelson,Main Street North,Trelawny,Female,14/11/1978,658-295-8686,Journalist,Married,Yang,Trelawny,St. James,16
1974364,Ms,Aida,Aaron,Harris,Route 17,Trelawny,Female,01/09/1978,658-295-6349,Graphic Designer,Single,Rivas,Trelawny,St. Andrew,16
2973474,Mrs,Kelsey,Ellen,Roberts,Railroad Street,Trelawny,Female,02/10/1968,658-295-8486,Social Worker,Married,Benjamin,Trelawny,Westmoreland,16
2873404,Mr,Jacob,Raven,Russell,Adams Avenue,Trelawny,Male,11/11/1960,658-295-9951,Historian,Married,Fletcher,Trelawny,Trelawny,17
1984505,Ms,Eleanor,Emerson,Parker,Bay Street,Trelawny,Female,14/09/1971,876-238-1229,Unemployed,Single,Levine,Trelawny,St. Mary,17
1000004,Mr,Ted,Clementine,Clark,8th Street,St. James,Male,18/11/1965,658-295-6397,Jeweller,Married,Mills,St. James,Manchester,14
1984378,Mr,Clark,Elein,Morrison,Orange Street,St. James,Male,28/03/1999,658-295-1951,Social Worker,Single,Mccoy,St. James,St. James,15
2198734,Mrs,Michelle,William,Gibson,Central Avenue,Westmoreland,Female,27/05/1985,876-226-7730,Salesman,Married,Jarvis,Westmoreland,Portland,7
2804734,Mrs,Alexia,Dawn,Martin,Ridge Road,Kingston,Female,28/12/1978,658-295-5522,Photographer,Married,Chandler,Kingston,Kingston,62
3834722,Mr,Byron,Amity,Evans,James Street,Kingston,Male,08/01/1986,876-237-6053,Manager,Married,Rose,Kingston,St. Catherine,62
3872649,Mrs,Stella,Georgina,Hunt,Jefferson Court,Kingston,Female,13/04/1967,876-888-7591,Photographer,Married,Griffin,Kingston,Kingston,62
4863529,Ms,Stella,Doran,Taylor,Aspen Drive,St. Andrew,Female,26/02/1984,658-295-0405,Firefighter,Single,Haley,St. Andrew,St. Andrew,55
1672484,Mrs,Natalie,Rayleen,Thomas,Charles Street,St. Thomas,Female,02/02/1973,658-295-1588,Hairdresser,Married,Webb,St. Thomas,St. Thomas,51
1974383,Ms,Darcy,Ellice,Wright,Pearl Street,Portland,Female,06/02/1962,876-291-9475,Scientist,Single,Duran,Portland,Portland,50
1235324,Mr,Sawyer,Hollyn,Harrison,Old York Road,St. Ann,Male,03/12/1969,658-295-6330,Hairdresser,Single,Horne,St. Ann,St. Ann,24
1974853,Mr,Ashton,Dante,Miller,Hillside Avenue,Kingston,Male,25/11/1977,658-295-4508,Police Officer,Single,Hinton,Kingston,Kingston,60
1749305,Mr,Jack,Brandt,Reed,2nd Avenue,Kingston,Male,04/11/1976,658-295-2740,Fashion Designer,Married,Wilkerson,Kingston,Kingston,60
4622184,Mr,Edwin,Clementine,Davis,Olive Street,Westmoreland,Male,03/05/1978,658-295-5759,Cook,Single,Macias,Westmoreland,Westmoreland,7
2657348,Ms,Honey,Rene,Stewart,Cardinal Drive,Manchester,Female,13/07/1985,658-295-8736,Insurer,Single,Osborn,Manchester,Manchester,2
1939844,Mr,Sawyer,Elodie,Taylor,Windsor Court,Manchester,Male,26/12/1976,658-295-6845,Economist,Single,Davenport,Manchester,Manchester,20
6163845,Ms,Jenna,Hope,Ryan,Summit Street,Manchester,Female,08/06/1983,658-295-9029,Teacher,Single,Wolfe,Manchester,Manchester,23
9736850,Mr,Ashton,Blayne,West,Orchard Avenue,St. Thomas,Male,14/02/1965,876-337-7916,Photographer,Single,Bradshaw,St. Thomas,St. Thomas,49
5463355,Mr,Eddy,Brighton,Reed,Pennsylvania Avenue,St. Mary,Male,24/08/1964,658-295-5309,Baker,Single,Taylor,St. Mary,St. Mary,44
3231324,Mr,Paul,Dawn,Henderson,High Street,St. Catherine,Male,21/07/1984,658-295-1314,Unemployed,Married,Mclean,St. Catherine,St. Catherine,37
3626945,Mr,Roman,Candice,Henderson,Crescent Street,St. Catherine,Male,09/07/1990,658-295-3009,Salesman,Single,Gutierrez,St. Catherine,St. Catherine,41
1634785,Mrs,Adelaide,Gwendolen,Ryan,Beechwood Drive,St. Catherine,Female,05/09/1966,658-295-7809,Physicist,Married,Bryant,St. Catherine,St. Catherine,35
9827434,Mr,Fenton,Evony,Craig,Cooper Street,Trelawny,Male,03/04/1997,658-295-1482,Unemployed,Single,Hensley,Trelawny,Trelawny,17
4265311,Mr,Adam,Byron,Roberts,Roberts Road,St. James,Male,15/06/1968,658-295-7573,Electrician,Single,Knox,St. James,St. James,11
4163264,Mr,Freddie,Brandt,Morris,School Street,St. James,Male,12/02/1993,658-295-8468,Interpreter,Single,Wilcox,St. James,St. James,12
7823975,Ms,Adelaide,Kathryn,Brown,Manor Drive,St. Ann,Female,28/12/1988,658-295-2205,Driver,Single,Ayers,St. Ann,St. Ann,24
2546344,Ms,Agata,Dominick,Alexander,Berkshire Drive,Portland,Female,01/08/1988,876-919-5537,Unemployed,Single,Chase,Portland,Portland,50
3285355,Mr,Luke,Francis,Richardson,Park Drive,Kingston,Male,05/03/1995,658-295-0425,Salesman,Married,Miles,Kingston,Kingston,61
3903795,Mr,Dainton,Kaitlin,Warren,Route 100,St. Andrew,Male,12/10/1984,876-322-6472,Baker,Married,Oneill,St. Andrew,St. Thomas,58
1532543,Mrs,Sophia,Aryn,Bailey,Linden Avenue,St. Andrew,Female,13/05/1985,658-295-7306,Social Worker,Married,Lewis,St. Andrew,Portland,63
9854796,Ms,Kimberly,Madeleine,Riley,Laurel Lane,St. Andrew,Female,03/05/1980,876-443-4885,Archeologist,Single,Wilkerson,St. Andrew,Hanover,65
8635685,Mr,Daniel,Noel,Campbell,Country Club Road,St. Andrew,Male,25/06/1991,658-295-9285,Medic,Single,Gamble,St. Andrew,St. Andrew,54
8276535,Mr,Jordan,Candice,Wells,John Street,Hanover,Male,29/08/1984,658-295-5333,Auditor,Married,Werner,Hanover,Hanover,4
1236487,Mr,Wilson,Cameron,Chapman,Garden Street,Manchester,Male,23/10/1977,658-295-5971,Chef,Single,Roberts,Manchester,Manchester,2
7237862,Mr,Stuart,Ellison,Cooper,5th Street,Hanover,Male,26/04/1996,658-295-2796,Auditor,Single,Hutchinson,Hanover,Hanover,4
5725443,Ms,Melanie,Reagan,Dixon,Morris Street,Manchester,Female,07/05/1964,658-295-9580,Historian,Single,Nash,Manchester,Westmoreland,20
7937863,Ms,Sophia,Miriam,Holmes,Clay Street,St. James,Female,02/02/1994,658-295-7799,Lecturer,Single,Figueroa,St. James,St. Mary,13
8625722,Mr,Adam,Cody,Warren,Hillcrest Drive,St. James,Male,25/12/1972,658-295-5838,Veterinarian,Single,Bentley,St. James,St. Thomas,15
